rel_type_cn,source_type_cn,target_type_cn,count
共现,地点,地点,44
共现,宿主,宿主,38
共现,宿主,地点,34
共现,地点,宿主,34
共现,宿主,传播媒介,19
共现,传播媒介,宿主,19
共现,技术,技术,18
共现,传播媒介,地点,17
共现,地点,传播媒介,17
共现,技术,宿主,13
共现,宿主,技术,13
共现,传播媒介,传播媒介,12
共现,宿主,其他,11
共现,其他,宿主,11
共现,疾病,宿主,11
共现,宿主,疾病,11
共现,地点,症状,11
共现,症状,地点,11
共现,地点,疾病,10
共现,地点,病原体,10
共现,病原体,地点,10
共现,地点,防控措施,10
共现,疾病,地点,10
共现,防控措施,地点,10
共现,宿主,防控措施,9
共现,防控措施,宿主,9
共现,宿主,症状,7
共现,症状,宿主,7
共现,病原体,传播媒介,7
共现,传播媒介,病原体,7
共现,其他,病原体,6
共现,其他,其他,6
共现,其他,传播媒介,6
共现,传播媒介,其他,6
共现,技术,传播媒介,6
共现,传播媒介,技术,6
共现,防控措施,传播媒介,6
共现,传播媒介,防控措施,6
共现,病原体,宿主,6
共现,病原体,其他,6
共现,病原体,技术,6
共现,宿主,病原体,6
共现,防控措施,防控措施,6
寄生,宿主,病原体,6
寄生,病原体,宿主,6
共现,技术,病原体,6
共现,地点,环境因素,4
共现,其他,地点,4
共现,地点,其他,4
用于,技术,技术,4
位于,地点,地点,4
共现,防控措施,病原体,4
共现,病原体,防控措施,4
共现,环境因素,地点,4
分布于,地点,疾病,4
分布于,疾病,地点,4
共现,症状,防控措施,4
共现,防控措施,症状,4
相关,防控措施,防控措施,4
对比,地点,地点,4
共现,技术,症状,3
取食,宿主,传播媒介,3
包含,宿主,地点,3
包含,地点,宿主,3
共现,防控措施,其他,3
共现,其他,防控措施,3
共现,症状,技术,3
取食,传播媒介,宿主,3
感染,病原体,宿主,3
传播,病原体,传播媒介,3
传播,传播媒介,病原体,3
治疗,病原体,防控措施,3
治疗,防控措施,病原体,3
感染,宿主,病原体,3
引起,病原体,疾病,2
应用于,疾病,技术,2
应用于,技术,疾病,2
竞争,传播媒介,传播媒介,2
相关,病原体,病原体,2
共现,传播媒介,症状,2
引起,疾病,病原体,2
共现,症状,传播媒介,2
治疗,疾病,防控措施,2
相关,技术,疾病,2
相关,疾病,技术,2
症状,病原体,症状,2
症状,症状,病原体,2
相关,技术,技术,2
治疗,防控措施,疾病,2
携带,疾病,传播媒介,1
位于,地点,宿主,1
位于,宿主,地点,1
分布于,地点,传播媒介,1
分布于,传播媒介,地点,1
相关,传播媒介,症状,1
携带,传播媒介,疾病,1
相关,症状,传播媒介,1
共现,症状,病原体,1
共现,病原体,症状,1
用于,疾病,技术,1
用于,技术,疾病,1
组成,症状,宿主,1
监测,技术,疾病,1
监测,疾病,技术,1
共现,技术,环境因素,1
共现,环境因素,技术,1
共现,地点,技术,1
共现,技术,地点,1
相关,症状,防控措施,1
相关,防控措施,症状,1
症状,症状,疾病,1
症状,疾病,症状,1
影响,病原体,宿主,1
组成,宿主,症状,1
控制,防控措施,传播媒介,1
影响,宿主,病原体,1
共现,防控措施,疾病,1
影响,疾病,环境因素,1
影响,环境因素,疾病,1
携带,传播媒介,病原体,1
携带,病原体,传播媒介,1
控制,防控措施,病原体,1
控制,病原体,防控措施,1
影响,疾病,地点,1
影响,地点,疾病,1
影响,疾病,症状,1
影响,症状,疾病,1
相关,疾病,病原体,1
相关,病原体,疾病,1
相关,疾病,环境因素,1
相关,环境因素,疾病,1
相关,疾病,宿主,1
相关,宿主,疾病,1
相关,疾病,防控措施,1
相关,防控措施,疾病,1
共现,疾病,防控措施,1
共现,疾病,环境因素,1
共现,环境因素,疾病,1
共现,疾病,其他,1
共现,其他,疾病,1
共现,疾病,传播媒介,1
共现,传播媒介,疾病,1
共现,疾病,技术,1
共现,技术,疾病,1
控制,传播媒介,防控措施,1
