node_1,node_2,edge,weight,chunk_id,source
松材线虫,马尾松,感染,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_0,llm
松材线虫,红松,感染,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_0,llm
无人机,高光谱数据,采集,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_0,llm
sentinel-2,高光谱数据,采集,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_0,llm
红边波段,松材线虫病害,识别,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_0,llm
绿光波段,松材线虫病害,识别,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_0,llm
短波红外波段,松材线虫病害,识别,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_0,llm
蓝边拐点,松材线虫病害,识别,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_0,llm
黄边拐点,松材线虫病害,识别,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_0,llm
bursaphelenchus xylophilus,马尾松,感染,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_1,llm
bursaphelenchus xylophilus,湿地松,感染,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_1,llm
bursaphelenchus xylophilus,赤松,感染,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_1,llm
bursaphelenchus xylophilus,云南松,感染,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_1,llm
无人机,叶级高光谱数据,获取,0.8,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf_1,llm
