id,name,type,source_pdf
1,松材线虫病,Disease,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
2,pine wilt disease,Disease,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
3,forest disease monitoring,Disease,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
4,江西省全南县和德兴市松材线虫病疫情年度普查统计,Disease,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf
5,松树死亡,Disease,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
6,Pine,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
7,松树枯,Disease,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
8,紫金山病死松,Disease,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
9,砍伐病,Disease,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
10,株发病,Disease,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
11,松材线虫病严重威胁松林生态系统 给森林资源安,Disease,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
12,堪称松林的 1982 松材线虫病首次在江苏南京发现后,Disease,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
13,松材线虫病严重威胁松林生态系统,Disease,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
14,松材线虫病严重威胁松林生态系统 给森林资源安 全带来巨大挑战,Disease,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
15,叶枯病,Disease,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
16,青枯菌,Disease,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
17,disease distribution,Disease,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
18,Wilt Disease,Disease,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
19,wilt disease distribution,Disease,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
20,china pine wilt,Disease,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
21,Disease,Disease,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
22,Wilt,Disease,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
23,Abstract Pine wilt,Disease,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
24,松树萎,Disease,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
25,松材线虫病生态灾害督办,Disease,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
26,disease epidemic,Disease,气候要素对松材线虫病疫情的影响研究.pdf
27,disease epidemic situation,Disease,气候要素对松材线虫病疫情的影响研究.pdf
28,病木株 病死松林蓄积 发病面积密度比整体达到一个最,Disease,气候要素对松材线虫病疫情的影响研究.pdf
29,wilt disease epidemic,Disease,气候要素对松材线虫病疫情的影响研究.pdf
30,冬春季降水过多导致松 材线虫病疫情严重,Disease,气候要素对松材线虫病疫情的影响研究.pdf
31,冬春季降水过多会导致松材线虫病疫情严重 而6月份降水量越大,Disease,气候要素对松材线虫病疫情的影响研究.pdf
32,虫病达到一个发病高峰期 冬春季降水过多导致松,Disease,气候要素对松材线虫病疫情的影响研究.pdf
33,清理松材线虫病害木降低马尾松林中松材线,Disease,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
34,松材线虫病及其媒介昆虫 松材线虫病 pine,Disease,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
35,松材线虫病株率,Disease,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
36,PWD damaged Masson,Disease,松材线虫病疫情指数与气候因素之间的关系.pdf
37,wilt disease variables,Disease,松材线虫病疫情指数与气候因素之间的关系.pdf
38,disease damaged Masson,Disease,松材线虫病疫情指数与气候因素之间的关系.pdf
39,J］．Plant disease,Disease,松材线虫病疫情指数与气候因素之间的关系.pdf
40,森林病理学,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
41,树 病学,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
42,林木病理学教科书,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
43,林木病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
44,植物细菌病害,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
45,昆虫病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
46,我国大陆森林病理事业发展之概况,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
47,树木和森林病理学研究的展望,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
48,森林病理 学发展,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
49,森林病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
50,梨锈病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
51,干朽病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
52,三角枫漆斑病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
53,昆虫与植病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
54,植物病理学,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
55,叶炎病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
56,黄萎病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
57,叶斑病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
58,马原恺 黄花松之病虫害,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
59,植物病虫害检验施行细则,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
60,杨树灰斑病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
61,杨锈病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
62,落叶松早期落叶病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
63,疱锈病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
64,森林植物病理学,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
65,树苗病害防治法,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
66,森林病理学讲义,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
67,植物病原真菌学,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
68,输入输出植物病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
69,叶病防治科,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
70,林业病虫通讯,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
71,森林病虫通讯,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
72,疽病花期及幼果期,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
73,杨黑斑病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
74,青枯病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
75,林木病理学,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
76,森林病害及其防治,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
77,东北树木病 害菌类图志,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
78,林木病 毒学,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
79,森林病理学通 论,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
80,经济林病理学,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
81,森林病虫图册,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
82,杨树病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
83,松树萎蔫病防治,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
