start_id,relation,end_id,confidence
1,hasHost,17,0.8
1,hasHost,18,0.8
1,hasHost,26,0.8
1,hasHost,27,0.8
1,hasHost,28,0.8
1,hasHost,29,0.8
1,hasHost,30,0.8
1,hasHost,31,0.8
1,hasHost,32,0.8
1,hasHost,33,0.8
1,hasHost,34,0.8
1,hasHost,35,0.8
1,hasHost,36,0.8
1,hasPathogen,15,0.95
1,hasVector,25,0.7
1,hasVector,37,0.95
1,affectedBy,20,0.7
1,affectedBy,21,0.7
1,affectedBy,22,0.7
1,affectedBy,23,0.7
1,affectedBy,24,0.7
1,hasSymptom,19,0.9
2,affectedBy,20,0.7
3,affectedBy,20,0.7
3,affectedBy,21,0.7
4,affectedBy,20,0.7
5,affectedBy,20,0.7
6,affectedBy,20,0.7
7,affectedBy,20,0.7
8,affectedBy,20,0.7
9,affectedBy,20,0.7
10,affectedBy,20,0.7
11,affectedBy,20,0.7
12,affectedBy,20,0.7
13,affectedBy,20,0.7
14,affectedBy,20,0.7
14,affectedBy,21,0.7
14,affectedBy,23,0.7
15,affectedBy,20,0.7
15,affectedBy,21,0.7
15,affectedBy,23,0.7
16,affectedBy,20,0.7
17,affectedBy,20,0.7
18,affectedBy,20,0.7
19,affectedBy,20,0.7
19,affectedBy,21,0.7
