head,tail,weight,relation,chunk_id,source,confidence,source_pdf
@risk,diva-gis,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,garp,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,monte carlo simulation,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,信息扩散模糊数学,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,易暴发流行区,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,松材线虫病,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,松材线虫病监测预警体系,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,林业有害生物,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,林业有害生物风险评估,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,生态适生区,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,生物位模型bioclim,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,管理系统,0.2727272727272727,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.2727272727272727,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,美国白蛾,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
@risk,高度危险区,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_43,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
altitude,area,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
altitude,climatic conditions,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
altitude,elevation,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
altitude,prevention,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
altitude,risk management strategies,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
area,prevention,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
area,risk management strategies,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
b.xylophilus,database,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_45,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
b.xylophilus,forecast,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_45,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
b.xylophilus,humidity,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_45,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
b.xylophilus,pest,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_45,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
b.xylophilus,pesticide,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_45,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
b.xylophilus,rainfall,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_45,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
b.xylophilus,temperature,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_45,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
bursaphelenchus xylophilus,altitude,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
bursaphelenchus xylophilus,area,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
bursaphelenchus xylophilus,climatic conditions,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
bursaphelenchus xylophilus,elevation,0.09090909090909091,co-occurs in,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf_40,proximity,0.09090909090909091,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究
